순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
1,9788959897001,103737985,트렌드 코리아 2022,"16,200원",900원,김난도/전미영/최지혜/이향은/이준영/이수진/서유현/권정윤/한다혜/서울대학교 생활과학연구소 소비트렌드분석센터/이혜원,미래의창,"TIGER OR CAT 검은 호랑이처럼 힘차게 포효하는 2022가 되기를 “우리를 죽이지 못하는 것들은 우리를 더 강하게 만든다.” 니체의 말이다. 거의 2년이 넘는 팬데믹 속에서도 우리는 삶을 이어왔고 고통과 절망 속에서도 미래에 대한 희망의 끈을 놓지 않았다. 획기적이고 거침없는 기술의 발전은 오히려 우리가 꿈꾸던 세상을 더욱 앞당기고 있다. 미증유의 전염병과 현명하게 공생하는 ‘위드 코로나’를 준비하면서 이제 우리는 더 강해지고 있다. 검은 호랑이의 해를 맞아, 서울대 소비트렌드분석센터는 10개의 키워드 두운을 “TIGER OR CAT”으로 잡았다. 팬데믹 위기 상황에 얼마나 잘 대처하느냐, 기업보다 진화의 속도가 더 빠른 소비자들의 니즈를 어떻게 맞출 것인가, 더 나아가 유권자들의 마음을 어떻게 얻을 것인가? 거침없이 포효하는 호랑이가 될 것인가, 고양이가 될 것인가? 우리 모두는 큰 갈림길에 놓여 있다.",1,국내도서-경제 경영
2,9791191211467,103841300,그냥 하지 말라,"15,300원",850원,송길영,북스톤,"대한민국 최고의 데이터 분석가 송길영이 바라본 10년의 변화상, 10년의 미래상 우리는 흔히 ‘미래를 알 수 없다’고 생각하지만, 그렇지 않다. 과거와 지금을 보고, 그 안에 담긴 사람들의 욕망을 이해할 수 있으면 미래의 변화를 상당 부분 알 수 있다. 자타공인 대한민국 최고의 데이터 분석가 송길영은 20여 년간 분석해온 빅데이터를 바탕으로 사람들의 일상이 어떻게 달라졌고, 생각이 어떻게 변화했는지 추적한다. 그럼으로써 앞으로 일어날 변화의 주요 축, 우리 사회의 가치관, 그에 맞는 개인과 조직의 성장문법을 제시한다. 미래에도 나만의 전문성이 있는 삶, 주도권을 잃지 않는 삶을 꿈꾼다면, 저자의 안내를 받으며 우리 마음이 그려내는 미래를 미리 탐험해보자.",1,국내도서-경제 경영
3,9791166570421,104431794,주식투자 절대 원칙,"15,300원",850원,박영옥(주식농부),센시오,"“4,500만 원으로 2,000억 부를 이룬 투자 비결” 자본금 4,500만 원으로 2,000억 원, 약 4,500배 수익률을 거둔 대한민국 최고 주식부자의 투자 비결을 담은 책이 출간됐다. 놀라운 점은 이러한 수익률이 IT 버블, 서브 프라임, 코로나 폭락장과 코스피 2,000에 갇혀 있던 박스피를 겪으며 거둔 성적표라는 점이다. 그것도 국내 주식으로만. 주위에 주식투자로 수억, 수십억을 벌었다는 사람은 종종 있지만 수백억을 번 사람은 손에 꼽을 정도이다. 한데 수천억을 벌었다니. 아마도 처음이자 앞으로도 당분간 나오기 쉽지 않을 기록일 것이다. 주식농부로 널리 알려진 박영옥 대표 이야기다. 도대체 주식농부는 어떻게 투자했기에 이렇게 큰 부를 이루었을까? 그 만의 특별한 비결이 있지 않을까? 이 물음에 저자는 수많은 시행착오 끝에 자신만의 원칙을 만들었고 그걸 지켜온 것이 비결이라고 말한다.",1,국내도서-경제 경영
4,9791165216603,103417076,NFT 레볼루션,"16,200원",900원,성소라/롤프 회퍼 /스콧 맥러플린,더퀘스트,"넥스트 빅 씽 Next Big Thing : NFT 시대가 온다! 예술·게임·교육·스포츠·금융·유통 등 우리가 창조하고 소비하는 모든 산업과 직접 연결되는 패러다임의 대전환! “지금 당장 블록체인 기술이 이끄는 새로운 경제 생태계, NFT에 올라타라”",1,국내도서-경제 경영
5,9791190977432,104988500,거인의 포트폴리오,"16,200원",900원,강환국,페이지2,"돈 버는 사람들은 이렇게 주식을 삽니다! 따라만 하면 수익이 나는 대가들의 검증된 투자 시스템 주식, 코인, 부동산 무엇에 투자했든 “그때 살걸!” 혹은 “그때 팔걸!”이라고 생각해 보지 않은 투자자는 한 명도 없을 것입니다. 그런데 저 말은 결국 무엇을 의미할까요? 우리는 미래를 예측할 수 없다는 것입니다. 지나고 보면 모든 게 쉬워 보입니다. 하지만 당시에는 한 치 앞을 알 수 없습니다. 코로나19가 이렇듯 우리의 일상을 위협하게 될 줄 누가 알았을까요? 집값이 단기간에 이토록 갑작스레 폭등할 줄 누가 알았을까요? 한두 번은 미래 예측이 맞을지도 모릅니다. 하지만 신이 아닌 이상, 모든 미래를 100% 맞추는 사람은 있을 수 없습니다. 그래서 우리에게는 경제 상황이 어떻게 변해도 안전하게 수익을 낼 수 있는 투자전략이 필요합니다. 자산배분과 마켓 타이밍 투자가 그것입니다. 자산배분이란 여러 자산군에 자금을 나누어 투자하는 것을 말합니다.",1,국내도서-경제 경영
6,9791130677774,104866527,웰씽킹 WEALTHINKING,"14,400원",800원,켈리 최,다산북스,"《선데이 타임스》 발표, 영국 부자 상위 0.1% 유튜브 1,000만 뷰, 화제의 인생 멘토! 드니 하네칸, 존 리, 신사임당 강력추천! 10억 빚더미를 연매출 6,000억과 맞바꾼 부의 원리 “왜 누구는 부자로, 누구는 빈자로 사는가? 그 모든 비밀은 웰씽킹에 있다!” 가난했던 소녀공 시절부터 글로벌 기업 회장이 되기까지, 최상위 부자 켈리 최가 말하는 진정한 부에 대한 모든 것! 지방의 가난한 농가에서 태어난 흙수저 중의 흙수저, 열여섯 나이에 낮엔 소녀공으로 밤엔 야간 고등학교로 주경야독, 난독증이 심해 제대로 읽을 수 없는 삶, 사업 실패로 남은 건 10억 원의 빚. 그런 그녀에게 어떤 희망이 있었을까? 차라리 죽는 게 더 낫다고 생각한 날들의 연속이었다. 하지만 몇 년 뒤, 그녀는 6천 개의 일자리를 창출하고 세계 12개국 30개가 넘는 비즈니스와 계열사를 거느린 글로벌 기업 회장으로 다시 태어났다.",1,국내도서-자기계발
7,9791197627507,105261388,투자는 디테일에 있다,"16,200원",900원,김정환,부케이,"슈퍼개미 김정환의 투자 바이블 드디어 출간! 성공하는 1%의 투자자는 어떻게 남다른 성과를 내는가? 한국 주식시장에서 개인 투자자는 어떻게 해야 시장 초과 수익을 낼 수 있을까? 주식 투자로 경제적 자유를 실현하려면 어떻게 접근해야 하는가? 이에 대한 모든 답이 담긴 책이 드디어 나왔다. - 슈퍼개미 김정환 시장 보는 법 최초 공개 - 코로나19 하락장 이후 슈퍼개미 김정환 실제 투자 노트 공개(23개 기업 분석 자료) - 적정 주가 만능 공식(2) 초성장주 플랫폼 기업 밸류에이션 공식 최초 공개 - 텐배거 종목 발굴의 일인자가 알려주는 텐배거 종목 특징 8가지 - 미래 세대를 위한 넥스트 10년, 반드시 주목해야할 5섹터 시크릿 뷰 공개 코로나19 이후 많은 사람들이 주식시장에 별다른 준비 없이 진입했다. 기술의 발달로 갈수록 인간 노동의 가치는 갈수록 절하되고 일자리는 감소해 노동 수입은 줄어들 수밖에 없다. 이제 투자는 선택이 아니라 필수가 되어간다.",1,국내도서-경제 경영
8,9791189580575,96025067,메타버스,"15,300원",850원,김상균,플랜비디자인,"IT기술을 잘 모른다고 해도 누구나 IT기술을 기반으로 세상이 아주 많이 변했다는 것을 느끼고 IT서비스를 이용하며 살아간다. 컴퓨터, 인터넷, 스마트폰으로 이어지는 변화의 다음은 무엇일까? 엔비디아(그래픽을 처리하여 모니터에 보여주는 장치를 개발/생산하는 세계적 기업)의 창립자 겸 CEO인 젠슨 황(Jensen Huang)이 지난 10월 한 컨퍼런스 기조연설에서 이렇게 얘기한다. “메타버스의 시대가 오고 있다(Metaverse is coming).” 메타버스는 ‘초월’을 뜻하는 ‘meta’와 ‘세상, 우주’를 뜻하는 ‘verse’의 합성어다. 생소한 단어이지만 우리는 이미 일상에서 메타버스를 경험하고 있다. 온라인 게임, SNS, 플랫폼서비스, 온라인지도&네비게이션 등 앞으로 이런 메타버스-디지털지구는 영역이 더욱 확장되고 우리 삶에서 뗄 수 없는 세계가 될 것이다.",1,국내도서-경제 경영
9,9788959893546,20398419,"돈, 뜨겁게 사랑하고 차갑게 다루어라","10,800원",600원,앙드레 코스톨라니/한윤진,미래의창,"유럽 증권계의 ‘위대한 유산’, 앙드레 코스톨라니 최후의 역작 유럽 제일의 투자자 코스톨라니가 넘치는 기지와 유머로 돈의 매력을 탐지하며 증권 거래와 투자심리에 중요한 변수인 투자의 근본적인 비밀과 기술을 설명하고 있다. 동시에 그는 투자자들에게 21세기 증권시장에 있어서 기회와 위험, 그리고 변화와 상승 · 하락에 대한 전망을 제시한다. 경제적인 성공에 결정적인 것은 돈에 대한 올바른 태도이며, 자신의 성격과 투자전략의 일치라고 말하는 저자의 돈과 투자에 대한 철학이 담겨 있다.",1,국내도서-경제 경영
10,9791190977418,104649148,사경인의 친절한 투자 과외,"19,800원","1,100원",사경인/이지영,페이지2,"주식은 잠깐이지만 투자는 평생이다 금융&증권 최고의 스타 강사 사경인이 진심으로 전하는 투자 이야기 투자에 성공한 수많은 사람의 필승 전략이 책, 유튜브에 넘쳐나는 지금도 여전히 실패하는 사람이 많은 이유는 무엇일까? 그 이유는 투자에 정답이 없기 때문이다. 무조건 성공한다는 비법도 개개인이 처한 상황과 심리에 따라 수익률이 천차만별로 달라진다. 투자의 원리, 자산배분과 장기투자의 이유를 스스로 이해하고 체득하지 않는 이상, 수익은 운으로 잠깐 얻는 것일 뿐 평생 불안하고 초조한 투자를 이어갈 수밖에 없다. 『사경인의 친절한 투자 과외』는 금융&증권 업계의 스타 강사 사경인이 사랑하는 가족에게 직접 전한 8번의 투자 강의를 엮은 책이다. 여의도 증권인이 아닌 코스피, 코스닥도 모르는 왕초보 아내의 눈높이에 맞춰 차근차근 풀어낸 친절한 이 책에는 사랑하는 가족이 누구보다 안정적이고, 현명한 투자를 하길 바라는 사경인 회계사의 진심이 담겨 있다.",1,국내도서-경제 경영
